CustomerID,Quantity,Country,QuantityCanceled,CancellationRate,cluster,Recency,Frequency,Monetary,r_quartile,f_quartile,m_quartile,RFMScore,R_Level,F_Level,M_Level,RFM_Sum,RFM_Level
12346.0,74215.0,United Kingdom,74215.0,1.0,3,326,1,0.0,4,4,4,444,Inactive,Returning customers,Worst,12,Require Activation
12347.0,1590.0,Iceland,0.0,0.0,1,95,5,2790.8599999999997,2,1,1,211,Temporarily idle,Stellar customer,Best,4,Champions
12348.0,2332.0,Finland,0.0,0.0,1,76,4,1437.24,2,2,2,222,Temporarily idle,Regulars,Top 50%,6,Potential
12350.0,196.0,Norway,0.0,0.0,3,311,1,294.40000000000003,4,4,3,443,Inactive,Returning customers,Worst,11,Require Activation
12352.0,401.0,Norway,63.0,0.1571072319201995,1,73,6,1033.6799999999998,2,1,2,212,Temporarily idle,Stellar customer,Top 50%,5,Loyal
12353.0,20.0,Bahrain,0.0,0.0,0,204,1,89.0,4,4,4,444,Inactive,Returning customers,Worst,12,Require Activation
12354.0,530.0,Spain,0.0,0.0,3,233,1,1079.4,4,4,2,442,Inactive,Returning customers,Top 50%,10,Require Activation
12355.0,240.0,Bahrain,0.0,0.0,1,96,1,459.4,2,4,3,243,Temporarily idle,Returning customers,Top 75%,9,Require Activation
12356.0,1568.0,Portugal,0.0,0.0,0,128,2,2429.0800000000004,3,3,1,331,Temporarily idle,Regulars,Best,7,Promising
12358.0,98.0,Austria,0.0,0.0,1,3,1,404.85999999999996,1,4,3,143,Highly active,Returning customers,Top 75%,8,Needs Attention
12359.0,1609.0,Cyprus,2.0,0.001243008079552517,1,9,4,6304.13,1,2,1,121,Highly active,Regulars,Best,4,Champions
12360.0,668.0,Austria,0.0,0.0,0,113,2,1378.2800000000002,3,3,2,332,Temporarily idle,Regulars,Top 50%,8,Needs Attention
12361.0,90.0,Belgium,0.0,0.0,3,288,1,174.89999999999998,4,4,4,444,Inactive,Returning customers,Worst,12,Require Activation
12362.0,1400.0,Belgium,10.0,0.007142857142857143,1,30,6,2655.34,1,1,1,111,Frequent,Stellar customer,Best,3,Can't Loose Them
12363.0,408.0,Unspecified,0.0,0.0,1,36,2,552.0,1,3,3,133,Frequent,Regulars,Top 75%,7,Promising
12364.0,732.0,Belgium,0.0,0.0,1,79,2,643.7199999999999,2,3,2,232,Temporarily idle,Regulars,Top 75%,7,Promising
12365.0,173.0,Cyprus,0.0,0.0,3,292,1,320.69,4,4,3,443,Inactive,Returning customers,Top 75%,11,Require Activation
12370.0,1969.0,Cyprus,0.0,0.0,1,68,3,2682.6600000000003,2,2,1,221,Temporarily idle,Regulars,Best,5,Loyal
12371.0,582.0,Switzerland,0.0,0.0,1,30,1,1527.9600000000003,1,4,1,141,Frequent,Returning customers,Top 50%,6,Potential
12372.0,788.0,Denmark,0.0,0.0,1,35,3,1196.04,1,2,2,122,Frequent,Regulars,Top 50%,5,Loyal
12373.0,196.0,Austria,0.0,0.0,3,342,1,324.6,4,4,3,443,Inactive,Returning customers,Top 75%,11,Require Activation
12375.0,86.0,Finland,0.0,0.0,3,304,1,190.30000000000004,4,4,4,444,Inactive,Returning customers,Worst,12,Require Activation
12377.0,942.0,Switzerland,0.0,0.0,3,316,2,1548.1199999999997,4,3,1,431,Inactive,Regulars,Top 50%,8,Needs Attention
12378.0,2529.0,Switzerland,0.0,0.0,3,305,1,4008.6200000000013,4,4,1,441,Inactive,Returning customers,Best,9,Require Activation
12379.0,402.0,Belgium,1.0,0.0024875621890547263,1,82,2,775.29,2,3,2,232,Temporarily idle,Regulars,Top 50%,7,Promising
12380.0,803.0,Belgium,0.0,0.0,1,57,3,1531.42,1,2,1,121,Temporarily idle,Regulars,Top 50%,4,Champions
12381.0,562.0,Norway,25.0,0.04448398576512456,1,2,1,987.39,1,4,2,142,Highly active,Returning customers,Top 50%,7,Promising
12383.0,1518.0,Belgium,3.0,0.001976284584980237,1,9,5,1617.31,1,1,1,111,Highly active,Stellar customer,Top 50%,3,Can't Loose Them
12384.0,60.0,Switzerland,5.0,0.08333333333333333,1,63,1,193.57999999999998,1,4,4,144,Temporarily idle,Returning customers,Worst,9,Require Activation
12386.0,354.0,Australia,0.0,0.0,0,192,2,401.90000000000003,3,3,3,333,Inactive,Regulars,Top 75%,9,Require Activation
12388.0,1238.0,Australia,0.0,0.0,1,76,5,2494.26,2,1,1,211,Temporarily idle,Stellar customer,Best,4,Champions
12390.0,350.0,Belgium,0.0,0.0,1,80,1,504.84,2,4,3,243,Temporarily idle,Returning customers,Top 75%,9,Require Activation
12393.0,816.0,Australia,0.0,0.0,1,39,4,1582.6000000000001,1,2,1,121,Frequent,Regulars,Top 50%,4,Champions
12394.0,808.0,Belgium,0.0,0.0,0,153,2,1080.48,3,3,2,332,Inactive,Regulars,Top 50%,8,Needs Attention
12395.0,1731.0,Belgium,4.0,0.002310803004043905,1,5,9,1973.4500000000003,1,1,1,111,Highly active,Stellar customer,Best,3,Can't Loose Them
12397.0,697.0,Belgium,0.0,0.0,0,136,1,1109.81,3,4,2,342,Temporarily idle,Returning customers,Top 50%,9,Require Activation
12399.0,1173.0,Belgium,0.0,0.0,1,2,4,1033.65,1,2,2,122,Highly active,Regulars,Top 50%,5,Loyal
12401.0,10.0,Belgium,0.0,0.0,1,99,1,69.3,2,4,4,244,Temporarily idle,Returning customers,Worst,10,Require Activation
12402.0,92.0,Belgium,0.0,0.0,3,324,1,195.6,4,4,4,444,Inactive,Returning customers,Worst,12,Require Activation
12405.0,849.0,Finland,0.0,0.0,0,149,1,1390.3900000000006,3,4,2,342,Inactive,Returning customers,Top 50%,9,Require Activation
12406.0,793.0,Denmark,9.0,0.011349306431273645,1,95,1,1486.7,2,4,1,241,Temporarily idle,Returning customers,Top 50%,7,Promising
12407.0,1226.0,Belgium,0.0,0.0,0,135,4,1242.36,3,2,2,322,Temporarily idle,Regulars,Top 50%,7,Promising
12408.0,1031.0,Belgium,9.0,0.008729388942774006,0,176,4,1908.6000000000004,3,2,1,321,Inactive,Regulars,Best,6,Potential
12409.0,5551.0,Switzerland,8.0,0.0014411817690506215,1,65,3,11056.93,1,2,1,121,Temporarily idle,Regulars,Best,4,Champions
12410.0,207.0,Switzerland,0.0,0.0,3,252,2,533.3299999999999,4,3,3,433,Inactive,Regulars,Top 75%,10,Require Activation
12412.0,824.0,Denmark,0.0,0.0,1,75,3,1142.88,2,2,2,222,Temporarily idle,Regulars,Top 50%,6,Potential
12413.0,282.0,France,0.0,0.0,0,192,3,686.1000000000001,3,2,2,322,Inactive,Regulars,Top 50%,7,Promising
